Season,Team,HomeMatches,HomeWins,HomeDraws,HomeLosses,HomeGoals,HomeGoalsAllowed,HomeComebackWins,HomeBlownLeads,AwayMatches,AwayWins,AwayDraws,AwayLosses,AwayGoals,AwayGoalsAllowed,AwayComebackWins,AwayBlownLeads,TotalMatches,TotalWins,TotalDraws,TotalLosses,TotalGoals,TotalGoalsAllowed,GoalDifference,TotalComebackWins,TotalBlownLeads,WinRate,ComebackRate,BlownLeadRate
2006/07,Bolton,19,9,5,5,26,20,0,0,19,7,3,9,21,32,1,1,38,16,8,14,47,52,-5,1,1,0.42105263157894735,0.02631578947368421,0.02631578947368421
2006/07,Charlton,19,7,5,7,19,20,1,1,19,1,5,13,15,40,0,3,38,8,10,20,34,60,-26,1,4,0.21052631578947367,0.02631578947368421,0.10526315789473684
2006/07,Chelsea,19,12,7,0,37,11,0,2,19,12,4,3,27,13,1,1,38,24,11,3,64,24,40,1,3,0.631578947368421,0.02631578947368421,0.07894736842105263
2006/07,Everton,19,11,4,4,33,17,0,3,19,4,9,6,19,19,0,2,38,15,13,10,52,36,16,0,5,0.39473684210526316,0.0,0.13157894736842105
2006/07,Fulham,19,7,7,5,18,18,0,1,19,1,8,10,20,42,0,0,38,8,15,15,38,60,-22,0,1,0.21052631578947367,0.0,0.02631578947368421
2006/07,Liverpool,19,14,4,1,39,7,0,0,19,6,4,9,18,20,0,0,38,20,8,10,57,27,30,0,0,0.5263157894736842,0.0,0.0
2006/07,Man City,19,5,6,8,10,16,0,0,19,6,3,10,19,28,0,0,38,11,9,18,29,44,-15,0,0,0.2894736842105263,0.0,0.0
2006/07,Man United,19,15,2,2,46,12,1,1,19,13,3,3,37,15,2,0,38,28,5,5,83,27,56,3,1,0.7368421052631579,0.07894736842105263,0.02631578947368421
2006/07,Middlesbrough,19,10,3,6,31,24,1,0,19,2,7,10,13,25,0,1,38,12,10,16,44,49,-5,1,1,0.3157894736842105,0.02631578947368421,0.02631578947368421
2006/07,Newcastle,19,7,7,5,23,20,1,1,19,4,3,12,15,27,0,2,38,11,10,17,38,47,-9,1,3,0.2894736842105263,0.02631578947368421,0.07894736842105263
2006/07,Portsmouth,19,11,5,3,28,15,1,1,19,3,7,9,17,27,0,2,38,14,12,12,45,42,3,1,3,0.3684210526315789,0.02631578947368421,0.07894736842105263
2006/07,Reading,19,11,2,6,29,20,0,1,19,5,5,9,23,27,0,2,38,16,7,15,52,47,5,0,3,0.42105263157894735,0.0,0.07894736842105263
2006/07,Sheffield United,19,7,6,6,24,21,1,1,19,3,2,14,8,34,0,1,38,10,8,20,32,55,-23,1,2,0.2631578947368421,0.02631578947368421,0.05263157894736842
2006/07,Tottenham,19,12,3,4,34,22,0,1,19,5,6,8,23,32,1,0,38,17,9,12,57,54,3,1,1,0.4473684210526316,0.02631578947368421,0.02631578947368421
2006/07,Watford,19,3,9,7,19,25,0,2,19,2,4,13,10,34,0,0,38,5,13,20,29,59,-30,0,2,0.13157894736842105,0.0,0.05263157894736842
2006/07,West Ham,19,8,2,9,24,26,1,1,19,4,3,12,11,33,0,1,38,12,5,21,35,59,-24,1,2,0.3157894736842105,0.02631578947368421,0.05263157894736842
2006/07,Wigan,19,5,4,10,18,30,0,2,19,5,4,10,19,29,0,3,38,10,8,20,37,59,-22,0,5,0.2631578947368421,0.0,0.13157894736842105
2007/08,Arsenal,19,14,5,0,37,11,1,1,19,10,6,3,37,20,3,2,38,24,11,3,74,31,43,4,3,0.631578947368421,0.10526315789473684,0.07894736842105263
2007/08,Aston Villa,19,10,3,6,34,22,2,0,19,6,9,4,37,29,1,3,38,16,12,10,71,51,20,3,3,0.42105263157894735,0.07894736842105263,0.07894736842105263
2007/08,Birmingham,19,6,8,5,30,23,0,5,19,2,3,14,16,39,0,0,38,8,11,19,46,62,-16,0,5,0.21052631578947367,0.0,0.13157894736842105
2007/08,Blackburn,19,8,7,4,26,19,0,1,19,7,6,6,24,29,2,1,38,15,13,10,50,48,2,2,2,0.39473684210526316,0.05263157894736842,0.05263157894736842
2007/08,Bolton,19,7,5,7,23,18,0,3,19,2,5,12,13,36,0,1,38,9,10,19,36,54,-18,0,4,0.23684210526315788,0.0,0.10526315789473684
2007/08,Chelsea,19,12,7,0,36,13,0,0,19,13,3,3,29,13,2,1,38,25,10,3,65,26,39,2,1,0.6578947368421053,0.05263157894736842,0.02631578947368421
2007/08,Derby,19,1,5,13,12,43,0,0,19,0,3,16,8,46,0,0,38,1,8,29,20,89,-69,0,0,0.02631578947368421,0.0,0.0
2007/08,Everton,19,11,4,4,34,17,0,3,19,8,4,7,21,16,0,0,38,19,8,11,55,33,22,0,3,0.5,0.0,0.07894736842105263
2007/08,Fulham,19,5,5,9,22,31,0,2,19,3,7,9,16,29,1,5,38,8,12,18,38,60,-22,1,7,0.21052631578947367,0.02631578947368421,0.18421052631578946
2007/08,Liverpool,19,12,6,1,43,13,0,3,19,9,7,3,24,15,1,1,38,21,13,4,67,28,39,1,4,0.5526315789473685,0.02631578947368421,0.10526315789473684
2007/08,Man City,19,11,4,4,28,20,2,2,19,4,6,9,17,33,0,0,38,15,10,13,45,53,-8,2,2,0.39473684210526316,0.05263157894736842,0.05263157894736842
2007/08,Man United,19,17,1,1,47,7,0,0,19,10,5,4,33,15,0,3,38,27,6,5,80,22,58,0,3,0.7105263157894737,0.0,0.07894736842105263
2007/08,Middlesbrough,19,7,5,7,27,23,0,2,19,3,7,9,16,30,1,3,38,10,12,16,43,53,-10,1,5,0.2631578947368421,0.02631578947368421,0.13157894736842105
2007/08,Newcastle,19,8,5,6,25,26,0,0,19,3,5,11,20,39,0,1,38,11,10,17,45,65,-20,0,1,0.2894736842105263,0.0,0.02631578947368421
